message,label
I’m interested in this item.,0
Can you share your phone number so I can send you details?,1
f r a n k 8 7 @ m a i l . c o m,1
What are the dimensions?,0
Can you show more photos?,0
My Snapchat is heidi269,1
Does it come in other colors?,0
This looks good.,0
Does it come in other colors?,0
What are the dimensions?,0
Do you have it in stock?,0
Does it come in other colors?,0
Do you have it in stock?,0
Do you have it in stock?,0
I’m interested in this item.,0
Reach out on WhatsApp at +1-156-369-4236,1
Do you have it in stock?,0
What’s the price?,0
Nice product!,0
Do you have it in stock?,0
Snapchat me @ fashionista431,1
Where do you ship from?,0
What are the dimensions?,0
Nice product!,0
Reach me at +1 631 916 6799,1
Mail me: grace58@test.org,1
This looks good.,0
Can you show more photos?,0
Here is my email: user1824@example.com,1
Where do you ship from?,0
I’m interested in this item.,0
How soon can I get it?,0
Can you show more photos?,0
Hit me up on WhatsApp at 555-690-3188,1
Please email me at user7509@example.com,1
What’s the price?,0
Reach out on WhatsApp at +1-985-614-7755,1
Can you share your phone number so I can send you details?,1
Can you show more photos?,0
This looks good.,0
Do you have it in stock?,0
telegram: t dot me slash fashionista422,1
I’m interested in this item.,0
This looks good.,0
How soon can I get it?,0
Contact via email: ivan48@example.com,1
WhatsApp me at +1-555-617-7365,1
Do you have it in stock?,0
Send me a DM on Facebook: facebook.com/shopper99,1
Do you have it in stock?,0
Nice product!,0
Follow me on Instagram @shopper99 and DM.,1
Do you have it in stock?,0
Can I have your email address?,1
Does it come in other colors?,0
Can you show more photos?,0
Where do you ship from?,0
What’s the price?,0
Does it come in other colors?,0
This looks good.,0
Skype me at 4820881979,1
This looks good.,0
Reach out on WhatsApp at +1-447-824-8417,1
This looks good.,0
Nice product!,0
Does it come in other colors?,0
Does it come in other colors?,0
Do you have it in stock?,0
How soon can I get it?,0
Can you show more photos?,0
Can you show more photos?,0
What’s the price?,0
g r a c e 3 1 @ e m a i l . n e t,1
What’s the price?,0
Does it come in other colors?,0
Contact me on Skype: eve910,1
My Snapchat is charlie442,1
find me at user5872@example.com 😉,1
What’s the price?,0
"My contact is 555-237-9455, call me.",1
📱 +1-551-854-7145,1
Does it come in other colors?,0
I’m interested in this item.,0
fb.com/coolcat712,1
Where do you ship from?,0
I’m interested in this item.,0
How soon can I get it?,0
How soon can I get it?,0
Where do you ship from?,0
Can you show more photos?,0
Do you have it in stock?,0
Hit me up on WhatsApp at 555-131-3026,1
Where do you ship from?,0
Text me at +1-919-553-2158,1
What’s the price?,0
Nice product!,0
Do you have it in stock?,0
Does it come in other colors?,0
Nice product!,0
Nice product!,0
How soon can I get it?,0
Nice product!,0
Nice product!,0
Message via email: judy44@mail.com,1
How soon can I get it?,0
This looks good.,0
Contact via email: grace4@email.net,1
This looks good.,0
"Email is user5309@example.com, reach out anytime.",1
📧 user5917@example.com,1
Do you have it in stock?,0
C a l l   m e :   3 7 4 7 3 6 2 3 3 5,1
What’s the price?,0
Where do you ship from?,0
Can you show more photos?,0
Do you have it in stock?,0
Do you have it in stock?,0
find me at user3173@example.com 😉,1
Where do you ship from?,0
Do you have it in stock?,0
You can reach me at +1-857-533-1741,1
How soon can I get it?,0
How soon can I get it?,0
c o n t a c t : +1-189-252-2447,1
Can you show more photos?,0
This looks good.,0
I’m interested in this item.,0
I’m interested in this item.,0
I’m interested in this item.,0
Text me at +1-531-850-5315,1
Can you show more photos?,0
Do you have it in stock?,0
How soon can I get it?,0
Does it come in other colors?,0
Can you show more photos?,0
What are the dimensions?,0
Does it come in other colors?,0
Do you have it in stock?,0
What are the dimensions?,0
What are the dimensions?,0
Nice product!,0
How soon can I get it?,0
Where do you ship from?,0
This looks good.,0
e m a i l m e @ user1420@example.com,1
📱 +1-200-881-5748,1
Do you have it in stock?,0
What are the dimensions?,0
How soon can I get it?,0
Find me on Facebook: https://facebook.com/david668,1
This looks good.,0
Do you have it in stock?,0
DM me on Instagram: @charlie787,1
Nice product!,0
I’m interested in this item.,0
Can you show more photos?,0
I’m interested in this item.,0
What are the dimensions?,0
Nice product!,0
Do you have it in stock?,0
Where do you ship from?,0
What are the dimensions?,0
Connect on LinkedIn (linkedin.com/in/fashionguru),1
Follow me on Instagram @fashionguru and DM.,1
